observation_date,CPIAUCSL
1977-01-01,58.700
1977-02-01,59.300
1977-03-01,59.600
1977-04-01,60.000
1977-05-01,60.200
1977-06-01,60.500
1977-07-01,60.800
1977-08-01,61.100
1977-09-01,61.300
1977-10-01,61.600
1977-11-01,62.000
1977-12-01,62.300
1978-01-01,62.700
1978-02-01,63.000
1978-03-01,63.400
1978-04-01,63.900
1978-05-01,64.500
1978-06-01,65.000
1978-07-01,65.500
1978-08-01,65.900
1978-09-01,66.500
1978-10-01,67.100
1978-11-01,67.500
1978-12-01,67.900
1979-01-01,68.500
1979-02-01,69.200
1979-03-01,69.900
1979-04-01,70.600
1979-05-01,71.400
1979-06-01,72.200
1979-07-01,73.000
1979-08-01,73.700
1979-09-01,74.400
1979-10-01,75.200
1979-11-01,76.000
1979-12-01,76.900
1980-01-01,78.000
1980-02-01,79.000
1980-03-01,80.100
1980-04-01,80.900
1980-05-01,81.700
1980-06-01,82.500
1980-07-01,82.600
1980-08-01,83.200
1980-09-01,83.900
1980-10-01,84.700
1980-11-01,85.600
1980-12-01,86.400
1981-01-01,87.200
1981-02-01,88.000
1981-03-01,88.600
1981-04-01,89.100
1981-05-01,89.700
1981-06-01,90.500
1981-07-01,91.500
1981-08-01,92.200
1981-09-01,93.100
1981-10-01,93.400
1981-11-01,93.800
1981-12-01,94.100
1982-01-01,94.400
1982-02-01,94.700
1982-03-01,94.700
1982-04-01,95.000
1982-05-01,95.900
1982-06-01,97.000
1982-07-01,97.500
1982-08-01,97.700
1982-09-01,97.700
1982-10-01,98.100
1982-11-01,98.000
1982-12-01,97.700
1983-01-01,97.900
1983-02-01,98.000
1983-03-01,98.100
1983-04-01,98.800
1983-05-01,99.200
1983-06-01,99.400
1983-07-01,99.800
1983-08-01,100.100
1983-09-01,100.400
1983-10-01,100.800
1983-11-01,101.100
1983-12-01,101.400
1984-01-01,102.100
1984-02-01,102.600
1984-03-01,102.900
1984-04-01,103.300
1984-05-01,103.500
1984-06-01,103.700
1984-07-01,104.100
1984-08-01,104.400
1984-09-01,104.700
1984-10-01,105.100
1984-11-01,105.300
1984-12-01,105.500
1985-01-01,105.700
1985-02-01,106.300
1985-03-01,106.800
1985-04-01,107.000
1985-05-01,107.200
1985-06-01,107.500
1985-07-01,107.700
1985-08-01,107.900
1985-09-01,108.100
1985-10-01,108.500
1985-11-01,109.000
1985-12-01,109.500
