observation_date,FEDFUNDS
1977-01-01,4.61
1977-02-01,4.68
1977-03-01,4.69
1977-04-01,4.73
1977-05-01,5.35
1977-06-01,5.39
1977-07-01,5.42
1977-08-01,5.90
1977-09-01,6.14
1977-10-01,6.47
1977-11-01,6.51
1977-12-01,6.56
1978-01-01,6.70
1978-02-01,6.78
1978-03-01,6.79
1978-04-01,6.89
1978-05-01,7.36
1978-06-01,7.60
1978-07-01,7.81
1978-08-01,8.04
1978-09-01,8.45
1978-10-01,8.96
1978-11-01,9.76
1978-12-01,10.03
1979-01-01,10.07
1979-02-01,10.06
1979-03-01,10.09
1979-04-01,10.01
1979-05-01,10.24
1979-06-01,10.29
1979-07-01,10.47
1979-08-01,10.94
1979-09-01,11.43
1979-10-01,13.77
1979-11-01,13.18
1979-12-01,13.78
1980-01-01,13.82
1980-02-01,14.13
1980-03-01,17.19
1980-04-01,17.61
1980-05-01,10.98
1980-06-01,9.47
1980-07-01,9.03
1980-08-01,9.61
1980-09-01,10.87
1980-10-01,12.81
1980-11-01,15.85
1980-12-01,18.90
1981-01-01,19.08
1981-02-01,15.93
1981-03-01,14.70
1981-04-01,15.72
1981-05-01,18.52
1981-06-01,19.10
1981-07-01,19.04
1981-08-01,17.82
1981-09-01,15.87
1981-10-01,15.08
1981-11-01,13.31
1981-12-01,12.37
1982-01-01,13.22
1982-02-01,14.78
1982-03-01,14.68
1982-04-01,14.94
1982-05-01,14.45
1982-06-01,14.15
1982-07-01,12.59
1982-08-01,10.12
1982-09-01,10.31
1982-10-01,9.71
1982-11-01,9.20
1982-12-01,8.95
1983-01-01,8.68
1983-02-01,8.51
1983-03-01,8.77
1983-04-01,8.80
1983-05-01,8.63
1983-06-01,8.98
1983-07-01,9.37
1983-08-01,9.56
1983-09-01,9.45
1983-10-01,9.48
1983-11-01,9.34
1983-12-01,9.47
1984-01-01,9.56
1984-02-01,9.59
1984-03-01,9.91
1984-04-01,10.29
1984-05-01,10.32
1984-06-01,11.06
1984-07-01,11.23
1984-08-01,11.64
1984-09-01,11.30
1984-10-01,9.99
1984-11-01,9.43
1984-12-01,8.38
1985-01-01,8.35
1985-02-01,8.50
1985-03-01,8.58
1985-04-01,8.27
1985-05-01,7.97
1985-06-01,7.53
1985-07-01,7.88
1985-08-01,7.90
1985-09-01,7.92
1985-10-01,7.99
1985-11-01,8.05
1985-12-01,8.27
