observation_date,GS10
1977-01-01,7.21
1977-02-01,7.39
1977-03-01,7.46
1977-04-01,7.37
1977-05-01,7.46
1977-06-01,7.28
1977-07-01,7.33
1977-08-01,7.40
1977-09-01,7.34
1977-10-01,7.52
1977-11-01,7.58
1977-12-01,7.69
1978-01-01,7.96
1978-02-01,8.03
1978-03-01,8.04
1978-04-01,8.15
1978-05-01,8.35
1978-06-01,8.46
1978-07-01,8.64
1978-08-01,8.41
1978-09-01,8.42
1978-10-01,8.64
1978-11-01,8.81
1978-12-01,9.01
1979-01-01,9.10
1979-02-01,9.10
1979-03-01,9.12
1979-04-01,9.18
1979-05-01,9.25
1979-06-01,8.91
1979-07-01,8.95
1979-08-01,9.03
1979-09-01,9.33
1979-10-01,10.30
1979-11-01,10.65
1979-12-01,10.39
1980-01-01,10.80
1980-02-01,12.41
1980-03-01,12.75
1980-04-01,11.47
1980-05-01,10.18
1980-06-01,9.78
1980-07-01,10.25
1980-08-01,11.10
1980-09-01,11.51
1980-10-01,11.75
1980-11-01,12.68
1980-12-01,12.84
1981-01-01,12.57
1981-02-01,13.19
1981-03-01,13.12
1981-04-01,13.68
1981-05-01,14.10
1981-06-01,13.47
1981-07-01,14.28
1981-08-01,14.94
1981-09-01,15.32
1981-10-01,15.15
1981-11-01,13.39
1981-12-01,13.72
1982-01-01,14.59
1982-02-01,14.43
1982-03-01,13.86
1982-04-01,13.87
1982-05-01,13.62
1982-06-01,14.30
1982-07-01,13.95
1982-08-01,13.06
1982-09-01,12.34
1982-10-01,10.91
1982-11-01,10.55
1982-12-01,10.54
1983-01-01,10.46
1983-02-01,10.72
1983-03-01,10.51
1983-04-01,10.40
1983-05-01,10.38
1983-06-01,10.85
1983-07-01,11.38
1983-08-01,11.85
1983-09-01,11.65
1983-10-01,11.54
1983-11-01,11.69
1983-12-01,11.83
1984-01-01,11.67
1984-02-01,11.84
1984-03-01,12.32
1984-04-01,12.63
1984-05-01,13.41
1984-06-01,13.56
1984-07-01,13.36
1984-08-01,12.72
1984-09-01,12.52
1984-10-01,12.16
1984-11-01,11.57
1984-12-01,11.50
1985-01-01,11.38
1985-02-01,11.51
1985-03-01,11.86
1985-04-01,11.43
1985-05-01,10.85
1985-06-01,10.16
1985-07-01,10.31
1985-08-01,10.33
1985-09-01,10.37
1985-10-01,10.24
1985-11-01,9.78
1985-12-01,9.26
